Name,Unique ID,__url,Slug,Image,Description,Twitter,Website,Facebook,Summaries,Collection ID,Locale ID,Item ID,Summaries copy
Roger Martin,228,https://www.actionablebooks.com/en-ca/authors/Roger-Martin/,Roger-Martin,https://s3-eu-west-1.amazonaws.com/actionable-co-public-sites/actionablebooks-com-wp-content/uploads/2010/10/roger_Martin_headshot-lg-180x220.jpg,"Roger Martin has served as dean of the Rotman School of Management since September 1, 1998. Previously, he spent 13 years as a Director of Monitor Company, a global strategy consulting firm based in Cambridge, Massachusetts, where he served as co-head of the firm for two years.",,www.rogerlmartin.com,,"Fixing the Game,Getting Beyond Better,The Design of Business,The Opposable Mind",65d7521383b866b5f9ec0375,65d339a75013d9bea848c5ee,65d77a491a2f737b196affe5,"Fixing the Game,The Design of Business,The Opposable Mind,Getting Beyond Better"
Peter Buffett,353,https://www.actionablebooks.com/en-ca/authors/Peter-Buffett/,Peter-Buffett,https://s3-eu-west-1.amazonaws.com/actionable-co-public-sites/actionablebooks-com-wp-content/uploads/2017/03/peter-buffet-180x220.jpg,"Emmy Award-winning musician Peter Buffett has an acclaimed career that spans more than 30 years as a professional musician, composer, philanthropist and author. He began his career creating music for early MTV bumpers of the ‘80s, and the climactic crescendo in the memorable “Fire Dance” scene in 1990’s Oscar winning film Dances with Wolves. Buffett received critical acclaim for his Native American-inspired music, composing the full score for 500 Nations- the eight-hour Emmy-awarded CBS miniseries produced by Kevin Costner, and the musical production Spirit: The Seventh Fire. Peter has released more than 15 records to date on his own imprints as well as Narada, Epic and Hollywood Records. He has collaborated with Grammy-nominated recording artist Akon as well as Grammy-winning artist Angelique Kidjo on human rights inspired songs. Buffett’s inspiring New York Times Best-Selling book, Life Is What You Make It, was released in paperback in May of this year. To bring the message of the book alive, Buffett has crafted Life Is What You Make It: A Concert & Conversation with Peter Buffett, a live music event that incorporates multi-media and personal stories to give the audience an authentic, inspirational, and impactful evening.",,www.peterbuffett.com,,Life Is What You Make It,65d7521383b866b5f9ec0375,65d339a75013d9bea848c5ee,65d77a3dd32366bcc080cc88,Life Is What You Make It
Ann Van Eron,413,https://www.actionablebooks.com/en-ca/authors/Ann-Van-Eron/,Ann-Van-Eron,https://s3-eu-west-1.amazonaws.com/actionable-co-public-sites/actionablebooks-com-wp-content/uploads/2016/10/ann-van-eron-180x220.jpg,"Ann Van Eron, Ph.D. is founder of Potentials, a global coaching and organization development consulting firm with over 30 years experience coaching leaders and working with teams and organizations all over the world. Ann supports people in having open-minded conversations for unparalleled results using her tested OASIS Moves® process. She creates team and organization environments of respect and dialogue that facilitate achieving goals. Clients include Fortune 100 companies, government and nongovernmental organizations and privately held organizations.",http://twitter.com/AnnVanEron/,www.OASISConversations.com,,OASIS Conversations,65d7521383b866b5f9ec0375,65d339a75013d9bea848c5ee,65d779b1aa6a5d05550e62f1,OASIS Conversations
Serena Star Leonard,290,https://www.actionablebooks.com/en-ca/authors/Serena-Star-Leonard/,Serena-Star-Leonard,https://s3-eu-west-1.amazonaws.com/actionable-co-public-sites/actionablebooks-com-wp-content/uploads/2017/03/serena-star-leonard-180x197.jpg,"Serena Star Leonard is business coach, blogger and presenter.",,www.in12months.com,,How to Succeed in 12 Months,65d7521383b866b5f9ec0375,65d339a75013d9bea848c5ee,65d77a4ea859109b87e3eeca,How to Succeed in 12 Months
Arianna Huffington,791,https://www.actionablebooks.com/en-ca/authors/Arianna-Huffington/,Arianna-Huffington,https://s3-eu-west-1.amazonaws.com/actionable-co-public-sites/actionablebooks-com-wp-content/uploads/2014/10/arianna-huffington.png,"Arianna Huffington is the chair, president, and editor-in-chief of the Huffington Post Media Group, a nationally syndicated columnist, and author of fourteen books. In May 2005, she launched The Huffington Post, a news and blog site that quickly became one of the most widely-read, linked to, and frequently-cited media brands on the Internet. In 2012, the site won a Pulitzer Prize for national reporting. In 2013, she was named to the Forbes Most Powerful Women list. In 2006, and again in 2011, she was named to the Time 100, Time Magazine’s list of the world’s 100 most influential people. Originally from Greece, she moved to England when she was 16 and graduated from Cambridge University with an M.A. in economics. At 21, she became president of the famed debating society, the Cambridge Union. She serves on several boards, including EL PAÍS, PRISA, the Center for Public Integrity, and the Committee to Protect Journalists.",http://twitter.com/ariannahuff/,www.huffingtonpost.com,,Thrive,65d7521383b866b5f9ec0375,65d339a75013d9bea848c5ee,65d779b3409e26373a4cd8b9,Thrive
Gina Mollicone Long,785,https://www.actionablebooks.com/en-ca/authors/Gina-Mollicone-Long/,Gina-Mollicone-Long,https://s3-eu-west-1.amazonaws.com/actionable-co-public-sites/actionablebooks-com-wp-content/uploads/2010/10/gina_Mollicone-long_headshot-lg-180x220.jpg,"Gina Mollicone-Long is an international bestselling author, compelling speaker and serial entrepreneur with a mission to reveal greatness in individuals, teams and organizations. She is the co-founder of two multi-national corporate team building and training companies and she has a breadth of corporate experience that ranges from giants such as Procter & Gamble to high-tech incubators, small start-ups and even the non-profit sector. An avid world traveller, Gina’s experiences with diverse cultural perspectives gives her programs universal relevance that helps her connect with audiences everywhere. Since 1998, she has trained, coached or spoken to tens of thousands of people globally including sharing the stage with Bob Proctor from the blockbuster phenomenon movie, “The Secret.”",,www.GinaML.com,http://www.facebook.com/GinaMollicone,Think or Sink,65d7521383b866b5f9ec0375,65d339a75013d9bea848c5ee,65d779f88628c88448362bde,Think or Sink
Gurbaksh Chahal,631,https://www.actionablebooks.com/en-ca/authors/Gurbaksh-Chahal/,Gurbaksh-Chahal,https://s3-eu-west-1.amazonaws.com/actionable-co-public-sites/actionablebooks-com-wp-content/uploads/2012/04/chahal-180x220.jpg,"G was born in the town of Tarn Taran, near Amritsar in Punjab, India to Avtar and Arjinder Chahal. In 1985, his parents received a visa for America through a lottery-based system in India, and the following year, when he was four, the family settled in San Jose, California. His parents had arrived with only $25 to their name, and they struggled at menial jobs to make a future for their four children.",http://twitter.com/gchahal/,www.facebook.com/officialGChahal,,The Dream,65d7521383b866b5f9ec0375,65d339a75013d9bea848c5ee,65d779fa336cf3351ac3e605,The Dream
Ben Horowitz,658,https://www.actionablebooks.com/en-ca/authors/Ben-Horowitz/,Ben-Horowitz,https://s3-eu-west-1.amazonaws.com/actionable-co-public-sites/actionablebooks-com-wp-content/uploads/2016/09/ben-horowitz-180x167.jpg,"Ben Horowitz is the cofounder and general partner of Andreessen Horowitz, a Silicon Valley-based venture capital firm that invests in entrepreneurs building the next generation of leading technology companies. The firm’s investments include Airbnb, GitHub, Facebook, Pinterest, and Twitter. Previously, he was cofounder and CEO of Opsware, formerly Loudcloud, which was acquired by Hewlett-Packard for $1.6 billion in 2007. Horowitz writes about his experiences and insights from his career as a computer science student, software engineer, cofounder, CEO, and investor in a blog that is read by nearly 10 million people. He has also been featured in the Wall Street Journal, the New York Times, the New Yorker, Fortune, the Economist, and Bloomberg Businessweek, among others. Horowitz lives in the San Francisco Bay Area with his wife Felicia.",http://twitter.com/bhorowitz/,www.bhorowitz.com,,The Hard Thing About Hard Things,65d7521383b866b5f9ec0375,65d339a75013d9bea848c5ee,65d779ba3c55e1cc53b1c819,The Hard Thing About Hard Things
Dan Sullivan,625,https://www.actionablebooks.com/en-ca/authors/Dan-Sullivan/,Dan-Sullivan,https://s3-eu-west-1.amazonaws.com/actionable-co-public-sites/actionablebooks-com-wp-content/uploads/2017/01/dan-sullivan-180x220.jpg,"Dan Sullivan is founder and president of The Strategic Coach Inc. A visionary, an innovator, and a gifted conceptual thinker, Dan has over 40 years’ experience as a highly regarded speaker, consultant, strategic planner, and coach to entrepreneurial individuals and groups. Dan’s strong belief in and commitment to the power of the entrepreneur is evident in all areas of Strategic Coach® and its successful coaching program, which works to help entrepreneurs reach their full potential in both their business and personal lives.",,https://www.strategiccoach.com,,The Dan Sullivan Question,65d7521383b866b5f9ec0375,65d339a75013d9bea848c5ee,65d779da57a4ede035e21dcb,The Dan Sullivan Question
Jeff Sutherland,506,https://www.actionablebooks.com/en-ca/authors/Jeff-Sutherland/,Jeff-Sutherland,https://s3-eu-west-1.amazonaws.com/actionable-co-public-sites/actionablebooks-com-wp-content/uploads/2016/09/jeff-sutherland-180x220.jpg,"Jeff is the co-creator of Scrum and a leading expert on how the framework has evolved to meet the needs of today’s business. The methodology he developed in 1993 and formalized in 1995 with Ken Schwaber has since been adopted by the vast majority of software development companies around the world. But Jeff realized that the benefits of Scrum are not limited to software and product development. He has adapted this successful strategy for several other industries including: finance, healthcare, higher education and telecom. As the CEO of Scrum Inc. and the Senior Advisor and Agile Coach to OpenView Venture Partners, Jeff sets the vision for success with Scrum. He continues to share best practices with organizations around the globe and has written extensively on Scrum rules and methods.",http://twitter.com/jeffsutherland/,https://www.scruminc.com/,,Scrum,65d7521383b866b5f9ec0375,65d339a75013d9bea848c5ee,65d77a0b02f4de5f64d77223,Scrum
